지사명,굴뚝명,측정항목,측정방법,제조업체명,제조국가,설치년도,모델명
강남,CHP(#1)동남권,O2,지르코늄,Sick,독일,2008,ZIRKOR5200
강남,CHP(#1)동남권,온도,Pt 100Ω,코닉스,한국,2008,RTD
중앙,G/E(#1)상암2,O2,지르코늄,Sick,독일,2009,ZIRKOR 5000
중앙,G/E(#1)상암2,Flow,초음파식,Sick,독일,2009,FLOWSIC 100
중앙,G/E(#1)상암2,Temp,RTD,테크코리아,한국,2009,PT 100OHM
중앙,G/E(#2)상암2,O2,지르코늄,Sick,독일,2009,ZIRKOR 5000
중앙,G/E(#2)상암2,Flow,초음파식,Sick,독일,2009,FLOWSIC 100
중앙,G/E(#2)상암2,Temp,RTD,테크코리아,한국,2009,PT 100OHM
파주,CHP(#1),CO,광흡수법,Sick,독일,2010,GM901
파주,CHP(#2),CO,광흡수법,Sick,독일,2010,GM901
청주,PLB(#1),O2,PARAMAGNETIC,SIEMENS,독일,2011,OXTMAT61
청주,PLB(#1),Flow,초음파식,DURAG,독일,2011,D-FL200G
청주,PLB(#1),Temp,RTD,코닉스,한국,2011,PT 100
용인,PLBs(#1),SO2/NOx,UV흡수법,동우옵트론,한국,2011,DGA-X
용인,PLBs(#1),Dust,광투과식,동우옵트론,한국,2011,LCD-80
용인,PLBs(#1),Temp,측온저항체,테크코리아,한국,2011,DK-1406W-8102T
용인,PLBs(#1),O2,전기화학식,동우옵트론,한국,2011,GGA-70-1
용인,PLBs(#1),Flow,초음파식,DURAG,독일,2011,D-FL 200
파주,CHP(#1),NOx,자외선흡수법,동우옵트론,한국,2011,DGA-X
중앙,G/T난지,NOx,자외선흡수법,Sick,독일,2012,GM32
중앙,G/T난지,O2,지르코늄,Sick,독일,2012,ZIRKOR 302
중앙,G/T난지,Flow,초음파식,Sick,독일,2012,FLOWSIC 100
중앙,G/T난지,Temp,RTD,테크코리아,한국,2012,PT 100OHM
광주전남,SRF(#1),SO2,비분산적외선법,Sick,독일,2016,MCS 100EHW
광주전남,SRF(#1),NOx,비분산적외선법,Sick,독일,2016,MCS 100EHW
광주전남,SRF(#1),CO,비분산적외선법,Sick,독일,2016,MCS 100EHW
광주전남,SRF(#1),HCl,비분산적외선법,Sick,독일,2016,MCS 100EHW
광주전남,SRF(#1),O2,전기화학식(질코니아),Sick,독일,2016,MCS 100EHW
광주전남,SRF(#1),Dust,광투과법,Sick,독일,2016,DUST HUNTER T50
광주전남,SRF(#1),Flow,초음파,Sick,독일,2016,FlOWSIC100
중앙,G/E(#1)상암2,NOx,자외선흡수법,Sick,독일,2017,GM32-7
중앙,G/E(#2)상암2,NOx,자외선흡수법,Sick,독일,2017,GM32-7
판교,G/T,NOx,자외선흡수법,동우옵트론,한국,2017,DGA-X
판교,G/T,O2,지르코늄,동우옵트론,한국,2017,GGA-70-1
판교,G/T,Flow,초음파식,DURAG,독일,2017,D-FL 200
판교,G/T,Temp,측온저항체,테크코리아,한국,2017,DK-1406W-8102T
강남,CHP(#1)동남권,NOx,자외선흡수법,Sick,독일,2017,GM32-7
강남,CHP(#1)동남권,유량,초음파,Sick,독일,2017,Flowsic100
대구,CHP(#1),SO2/NOX,자외선흡수,동우옵트론,한국,2017,DGA-X
대구,CHP(#1),Dust,광투과식,동우옵트론,한국,2017,LCD-80
대구,CHP(#1),O2,지르코늄,동우옵트론,한국,2017,GGA-70-1
대구,CHP(#1),유량,초음파식,DURAG,독일,2017,D-FL 200
대구,CHP(#1),온도,RTD,테크코리아,한국,2017,DK-1406W-8102T
대구,PLB(#2),SO2/NOX,자외선흡수,동우옵트론,한국,2017,DGA-X
대구,PLB(#2),Dust,광투과식,동우옵트론,한국,2017,LCD-80
대구,PLB(#2),O2,지르코늄,동우옵트론,한국,2017,GGA-70-1
대구,PLB(#2),유량,초음파식,DURAG,독일,2017,D-FL 200
대구,PLB(#2),온도,RTD,테크코리아,한국,2017,DK-1406W-8102T
수원,CHP(#1),SO2/NOX,자외선법,동우옵트론,한국,2017,DGA-X
수원,CHP(#1),Dust,광투과식,동우옵트론,한국,2017,LCD-80
수원,CHP(#1),Temp,RTD,동우옵트론,한국,2017,DK-1406W
수원,CHP(#1),O2,지르코늄,동우옵트론,한국,2017,GGA-70
수원,CHP(#1),Flow,초음파식,DURAG,독일,2017,D-FL 200
수원,PLB(#2),SO2/NOX,자외선법,동우옵트론,한국,2017,DGA-X
수원,PLB(#2),Dust,광투과식,동우옵트론,한국,2017,LCD-80
수원,PLB(#2),Temp,RTD,동우옵트론,한국,2017,DK-1406W
수원,PLB(#2),O2,지르코늄,동우옵트론,한국,2017,GGA-70
수원,PLB(#2),Flow,초음파식,DURAG,독일,2017,D-FL 200
파주,CHP(#1),O2,전기화학식(질코니아),동우옵트론,한국,2017,GGA-70-1
파주,CHP(#1),Flow,초음파,동우옵트론,한국,2017,D-FL 200G-MK2A-B
파주,CHP(#1),Temp,측온저항식,테크코리아,한국,2017,KTE-100A
파주,CHP(#2),NOx,자외선흡수법,동우옵트론,한국,2017,DGA-X
파주,CHP(#2),O2,전기화학식(질코니아),동우옵트론,한국,2017,GGA-70-1
파주,CHP(#2),Flow,초음파,동우옵트론,한국,2017,D-FL 200G-MK2A-B
파주,CHP(#2),Temp,측온저항식,테크코리아,한국,2017,KTE-100A
동탄,G/T#2,NOx,자외선흡수법,SICK,독일,2017,GM32­7
동탄,"G/T#1, 2",O2,전기화학식(질코니아),ENOTEC,독일,2017,OXITEC5000
동탄,"G/T#1, 2",Flow,초음파,SICK,독일,2017,FlOWSIC100
동탄,"G/T#1, 2",Temp,RTD,대한인스트루먼트,한국,2017,DK-1406W-8102
화성,CHP(#1),NOx,자외선흡수법,동우옵트론,한국,2017,DGA-X
화성,CHP(#1),O2,전기화학식(질코니아),동우옵트론,한국,2017,GGA-70-1
화성,CHP(#1),Flow,초음파,DURAG,독일,2017,D-FL 200
화성,CHP(#1),Temp,측온저항체,테크코리아,한국,2017,DK-1406W-8102T
화성,CHP(#2),NOx,자외선흡수법,동우옵트론,한국,2017,DGA-X
화성,CHP(#2),O2,전기화학식(질코니아),동우옵트론,한국,2017,GGA-70-1
화성,CHP(#2),Flow,초음파,DURAG,독일,2017,D-FL 200
화성,CHP(#2),Temp,측온저항체,테크코리아,한국,2017,DK-1406W-8102T
삼송,"G/T#1,2",NOx,자외선흡수법,동우옵트론,한국,2017,DGA-X
삼송,"G/T#1,2",O2,전기화학식,동우옵트론,한국,2017,GGA-70-1
삼송,"G/T#1,2",Flow,초음파,DURAG,독일,2017,D-FL200
삼송,"G/T#1,2",Temp,측온저항체,테크코리아,한국,2017,DK1406W-8102T
광교,G/T(#1),NOx,자외선흡수법,동우옵트론,한국,2017,DGA-X
광교,G/T(#1),O2,전기화학식,동우옵트론,한국,2017,GGA-70-1
광교,G/T(#1),Flow,초음파,DURAG,독일,2017,D-FL200
광교,G/T(#1),Temp,측온저항체,테크코리아,한국,2017,DK MFG/DK-1406W-8102T
광주전남,SRF(#1),Temp,저항식,테크코리아,한국,2017,PT100
청주,PLB(#1),NOx,NDIR,SIEMENS,독일,2019,ULTRAMAT23
중앙,PLB(#4)상암,NOx,자외선흡수법,동우옵트론,한국,2020,DSM-XG
중앙,PLB(#4)상암,O2,자기식,동우옵트론,한국,2020,DSM-XG
중앙,PLB(#4)상암,Temp,RTD,동우옵트론,한국,2020,DK-1200
삼송,PLBw(#6)바이오가스,NOx,자외선흡수법,㈜리트코,한국,2020,GM32-7
중앙,PLB(#4)상암,Flow,초음파식,DURAG,독일,2021,D-FL220
대구,CHPw(#3)우드칩,SO2/NOX,자외선흡수,동우옵트론,한국,2021,DSM-XG
대구,CHPw(#3)우드칩,Dust,광투과식,동우옵트론,한국,2021,LCD-80
대구,CHPw(#3)우드칩,O2,자기식,동우옵트론,한국,2021,DSM-XG
대구,CHPw(#3)우드칩,유량,초음파식,DURAG,독일,2021,D-FL220
대구,CHPw(#3)우드칩,온도,RTD,동우옵트론,한국,2021,DK-1200
대구,PLBw(#4)LFG,SO2/NOX,자외선흡수,동우옵트론,한국,2021,DGA-X
대구,PLBw(#4)LFG,Dust,광투과식,동우옵트론,한국,2021,LCD-80
대구,PLBw(#4)LFG,O2,전기화학식,동우옵트론,한국,2021,GGA-70
대구,PLBw(#4)LFG,유량,초음파식,DURAG,독일,2021,D-FL220
대구,PLBw(#4)LFG,온도,RTD,동우옵트론,한국,2021,DK-1200
삼송,PLBw(#6)바이오가스,O2,전기화학식,㈜리트코,한국,2021,OXITEC 5000
삼송,PLBw(#6)바이오가스,Flow,초음파,㈜리트코,한국,2021,FLOWSIC100
삼송,PLBw(#6)바이오가스,Temp,측온저항체,㈜리트코,한국,2021,DK-1406W
김해,"PLBw#1,2",NOx,비분산적외선법,SICK,독일,2021,GMS 810
김해,"PLBw#1,2",O2,전기화학식,SICK,독일,2021,GMS 810
김해,"PLBw#1,2",Flow,초음파,SICK,독일,2021,FLOWSIC100
김해,"PLBw#1,2",Temp,측온저항체,테크코리아,한국,2021,DK-1406W
양산,"PLBw#1,2",NOx,자외선흡수법,동우옵트론,한국,2021,DGA-X
양산,"PLBw#1,2",O2,전기화학식(질코니아),동우옵트론,한국,2021,GGA-70-1
양산,"PLBw#1,2",Flow,초음파,DURAG,독일,2021,D-FL220
양산,"PLBw#1,2",Temp,RTD,DK MFG,한국,2021,DK-1200
광주전남,"PLBw#2,10",NOx,자외선흡수법,동우옵트론,한국,2021,DGX-X
광주전남,"PLBw#2,10",O2,전기화학식,동우옵트론,한국,2021,GGA-70
광주전남,"PLBw#2,10",Flow,초음파,DURAG,독일,2021,D-FL220
광주전남,"PLBw#2,10",Temp,RTD,테크코리아,한국,2021,DK-100
양산,CHP,NOx,자외선흡수법,동우옵트론,한국,2022,DGA-X
양산,CHP,O2,전기화학식(질코니아),동우옵트론,한국,2022,GGA-70-1
양산,CHP,Flow,초음파,DURAG,독일,2022,D-FL220
양산,CHP,Temp,RTD,두광에프엔지,한국,2022,DK-1408S
대구,G/T(#5),Sox/Nox,자외선흡수방식,SICK,독일,2024,GM32
대구,G/T(#5),O2,지르코늄,ENOTEC,독일,2024,OXITEC5000
대구,G/T(#5),유량,초음파,SICK,독일,2024,Flowsic 100
대구,G/T(#5),온도,RTD,MK-MFG,한국,2024,DK-1406
청주,PLBw(#3),NOx,UV흡수법,동우옵트론,한국,2024,DSM-XG
청주,PLBw(#3),O2,자기식,동우옵트론,한국,2024,DSM-XG
청주,PLBw(#3),Flow,피토관,동우옵트론,한국,2024,PGA-91
청주,PLBw(#3),Temp,RTD,동우옵트론,한국,2024,DLD-7A
청주,CHP(#4),NOx,자외선흡수방식,SICK,독일,2024,GM32
청주,CHP(#4),O2,지르코늄,ENOTEC,독일,2024,OXITEC5000
청주,CHP(#4),Flow,초음파,SICK,독일,2024,FLOWSIC 100
청주,CHP(#4),Temp,RTD,MK-MFG,한국,2024,DK-1406
동탄,G/T#1,NOx,자외선흡수법,㈜디엑스지,한국,2024,DGA-X
